row_index,old_s3_url,new_s3_url,status,moving_logos
0,s3://nw-studio-nkb-uploads/old/otg_prod/2021/1-january/04-01-2021/04-01-2020-todosApplicationPart5-pjts-Hindi-V2-720p.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/2021/1-january/04-01-2021/04-01-2020-todosApplicationPart5-pjts-Hindi-V2-720p_ibhlr.mp4,success,"NX IB 3@2m21s(left-to-right,22px);NX IB 3@3m37s(right-to-left,32px);Only IB HUbs@5m43s(left-to-right,12px);Logo Bottom Right 2@5m43s(left-to-right,13px);NX IB 3@5m43s(left-to-right,13px);NX IB 3@21m35s(left-to-right,32px);NX IB 3@22m27s(right-to-left,32px);NX IB 3@22m27s(right-to-left,32px);Only IB HUbs@36m4s(left-to-right,12px);Logo Bottom Right 2@36m4s(left-to-right,13px);NX IB 3@36m4s(left-to-right,13px);Only IB HUbs@45m43s(right-to-left,12px);Logo Bottom Right 2@45m43s(right-to-left,13px);NX IB 3@45m43s(right-to-left,13px)"
1,s3://nw-studio-nkb-uploads/old/otg_prod/31-10-2020/31-01-2020-essentialQualities-passionToGrow-Telugu-V1-720p.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/31-10-2020/31-01-2020-essentialQualities-passionToGrow-Telugu-V1-720p_ibhlr.mp4,success,
2,s3://nw-studio-nkb-uploads/old/otg_prod/2021/7-July/28-07-2021/28-07-2020-introductionToDynamicWebApplications-Telugu-V1-720p.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/2021/7-July/28-07-2021/28-07-2020-introductionToDynamicWebApplications-Telugu-V1-720p_ibhlr.mp4,success,
3,s3://nw-studio-nkb-uploads/old/otg_prod/2021/8-August/18-08-2021/18-08-2020-domAndEventFundamentals-Telugu-V2-720p.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/2021/8-August/18-08-2021/18-08-2020-domAndEventFundamentals-Telugu-V2-720p_ibhlr.mp4,success,
4,s3://nw-studio-nkb-uploads/ccbp_prod/media/video_content/xpm_fundamentals/introduction_to_xpm/hindi/05-09-2020-introductionToXPM4.0-Hindi_V1.mp4,,error: Expected output not found: ./processed_videos4/05-09-2020-introductionToXPM4.0-Hindi_V1_ibhlr.mp4,
5,s3://nw-studio-nkb-uploads/old/otg_prod/02-10-2020/02-10-2020-Announcements-English-V1.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/02-10-2020/02-10-2020-Announcements-English-V1_ibhlr.mp4,success,"Only IB HUbs@0m39s(right-to-left,21px);Logo Bottom Right 2@0m39s(right-to-left,785px);NX IB 3@0m39s(right-to-left,21px);Nxtwave With IB Small@15m16s(right-to-left,231px)"
6,s3://nw-studio-nkb-uploads/old/otg_prod/02-10-2020/02-10-2020-Announcements-Telugu-V1.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/02-10-2020/02-10-2020-Announcements-Telugu-V1_ibhlr.mp4,success,"Only IB HUbs@0m44s(right-to-left,51px);Logo Bottom Right 2@0m44s(right-to-left,52px);NX IB 3@0m44s(right-to-left,52px);Nxtwave With IB in Slide@0m45s(right-to-left,500px);Only IB HUbs@15m57s(right-to-left,42px);Logo Bottom Right 2@15m57s(right-to-left,529px);NX IB 3@15m57s(right-to-left,42px)"
7,s3://nw-studio-nkb-uploads/old/otg_prod/2-11-2020/02-10-2020-codeWalkthrough3-English-V1-720p.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/2-11-2020/02-10-2020-codeWalkthrough3-English-V1-720p_ibhlr.mp4,success,
8,s3://nw-studio-nkb-uploads/old/otg_prod/05-10-2020/05-10-2020 -entrepreneurship and management-telugu.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/05-10-2020/05-10-2020 -entrepreneurship and management-telugu_ibhlr.mp4,success,"Only IB HUbs@0m37s(right-to-left,119px);Logo Bottom Right 2@0m37s(right-to-left,118px);NX IB 3@0m37s(right-to-left,118px)"
10,s3://nw-studio-nkb-uploads/old/otg_prod/05-10-2020/05-10-2020-FinalAssignment-A-Hindi.mp4,s3://nxtwave-common-media-static/nw-studio-nkb-uploads/old/otg_prod/05-10-2020/05-10-2020-FinalAssignment-A-Hindi_ibhlr.mp4,success,"Only IB HUbs@23m31s(right-to-left,78px);Logo Bottom Right 2@23m31s(right-to-left,921px);NX IB 3@23m31s(right-to-left,79px);Nxtwave With IB Small@25m10s(right-to-left,41px);Only IB HUbs@26m15s(right-to-left,43px);Logo Bottom Right 2@26m15s(right-to-left,789px);NX IB 3@26m15s(right-to-left,44px);Only IB HUbs@39m25s(right-to-left,105px);Logo Bottom Right 2@39m25s(right-to-left,657px);NX IB 3@39m25s(right-to-left,105px);Only IB HUbs@40m4s(right-to-left,123px);Logo Bottom Right 2@40m4s(right-to-left,123px);NX IB 3@40m4s(right-to-left,123px);Nxtwave With IB Small@40m36s(right-to-left,134px);Nxtwave With IB Small@42m48s(right-to-left,17px);Only IB HUbs@44m48s(right-to-left,87px);Logo Bottom Right 2@44m48s(right-to-left,88px);NX IB 3@44m48s(right-to-left,88px);Nxtwave With IB in Slide@44m49s(right-to-left,539px);Only IB HUbs@44m52s(right-to-left,454px);Logo Bottom Right 2@44m52s(right-to-left,454px);NX IB 3@44m52s(right-to-left,179px);Nxtwave With IB in Slide@44m49s(right-to-left,367px);Nxtwave With IB in Slide@44m53s(left-to-right,438px);Only IB HUbs@44m59s(right-to-left,357px);Logo Bottom Right 2@44m59s(right-to-left,357px);NX IB 3@44m59s(right-to-left,357px);Nxtwave With IB in Slide@44m53s(left-to-right,98px);Nxtwave With IB in Slide@45m0s(right-to-left,616px)"
